drug_schedule,description,trade_name_detected,is_billable,is_multi_dose,is_external,is_refrigerated,unit_of_issue,requires_cycle_count_witness,requires_issue_witness,requires_restock_witness,requires_return_witness,requires_waste_witness,Issue Unit Strength,order_quantity,order_unit,order_unit_price
6,Artificial Tears Ointment,,1,0,0,0,EACH,0,0,0,0,0,,1,EACH,$10.16
6,Atenolol 50 mg Tablet,,1,1,0,0,TAB,0,0,0,0,0,50 mg,100,TAB,$3.34
6,Atipamazole 5mg/mL Inj,"Antisedan, Revertadine",1,1,0,0,ML,0,0,0,0,0,5 mg,10,ML,$0.00
6,Atopica 100mg Capsule,Atopica,1,0,0,0,BOX,0,0,0,0,0,100 mg,1,BOX,$65.60
6,Atopica 10mg Capsule,Atopica,1,0,0,0,BOX,0,0,0,0,0,10 mg,1,BOX,$22.71
6,Atopica 25mg Capsule,Atopica,1,0,0,0,BOX,0,0,0,0,0,25 mg,1,BOX,$25.70
6,Atopica 50mg Capsule,Atopica,1,0,0,0,BOX,0,0,0,0,0,50 mg,1,BOX,$41.20
6,Atopica Feline 5ml,Atopica Feline,1,0,0,0,BOX,0,0,0,0,0,,1,BOX,$35.96
6,Atracurium Besylate 10mg/ml Inj ,,1,0,0,0,BTTL,0,0,0,0,0,10 mg,10,BTTL,$115.50
6,Atropine 0.65mg/ml Inj,,1,1,0,0,ML,0,0,0,0,0,0.65 mg,50,ML,$71.29
6,Atropine 1% Opth Sol 5ml,,1,0,0,0,BTTL,0,0,0,0,0,1%,1,BTTL,$20.51
6,Atropine Ophth Oint 1%,,1,0,0,0,EACH,0,0,0,0,0,1%,1,EACH,$21.95
6,Atropine Sulfate 0.54mg/ml Inj,,1,1,0,0,ML,0,0,0,0,0,0.54 mg,100,ML,$8.76
6,Azithromycin 20mg/mL Oral 15mL,,1,0,0,0,BTTL,0,0,0,0,0,20mg,1,BTTL,$4.25
6,Azithromycin 250 mg Tablet,,1,1,0,0,TAB,0,0,0,0,0,250 mg,18,TAB,$4.83
6,Azithromycin 40mg/ml Inj,,1,1,0,0,ML,0,0,0,0,0,40 mg,1,ML,$3.30
6,Azithromycin 500mg Tablet,,1,1,0,0,TAB,0,0,0,0,0,500 mg,9,TAB,$6.62
6,Azithromycin 50mg/mL Inj,,1,0,0,0,VIAL,0,0,0,0,0,50 mg,10,VIAL,$35.18
6,Azodyl 90 Count Bottle,,1,0,0,0,BTTL,0,0,0,0,0,,1,BTTL,$65.96
6,Azopt 10mg/ml Drops 5ml,,1,0,0,0,BTTL,0,0,0,0,0,10 mg,1,BTTL,$25.75
6,Azostix 25 Count,,1,0,0,0,EACH,0,0,0,0,0,,1,EACH,$44.99
6,Bag Balm 4.5lb,,1,0,0,0,EACH,0,0,0,0,0,,1,EACH,$35.84
6,Balance Stress/Dehydration 40lb ,,1,0,0,0,EACH,0,0,0,0,0,,1,EACH,$6.21
6,Bar Somnus 2P 50 Dose Bottle,,1,0,0,0,EACH,0,0,0,0,0,,1,EACH,$0.00
6,B-Complex Oral ,Nutrived,1,0,0,0,BTTL,0,0,0,0,0,,1,BTTL,$0.00
6,Before-X Sterile Ear Solution 100ml,Tris-EDTA,1,0,0,0,BTTL,0,0,0,0,0,,1,BTTL,$11.79
6,Benazepril 10mg Tablet,"Fortekor, Lotensin",1,1,0,0,TAB,0,0,0,0,0,10 mg,100,TAB,$4.05
6,Benazepril 2.5mg Tablet,"Fortekor, Lotensin",1,1,0,0,TAB,0,0,0,0,0,2.5 mg,100,TAB,$0.96
6,Benazepril 20mg Tablet,"Fortekor, Lotensin",1,1,0,0,TAB,0,0,0,0,0,20 mg,100,TAB,$5.25
6,Benazepril 40mg Tablet,"Fortekor, Lotensin",1,1,0,0,TAB,0,0,0,0,0,40 mg,100,TAB,$14.15
6,Bene-Bac Plus Pet Gel 15gm,,1,0,0,0,TUBE,0,0,0,0,0,15 g,1,TUBE,$4.35
6,Benzonatate 100mg Capsule,,1,0,0,0,CAP,0,0,0,0,0,100 mg,100,CAP,$8.24
6,Benzoyl Peroxide Shampoo 1 Gallon,,1,0,0,0,BTTL,0,0,0,0,0,,1,BTTL,$89.38
6,Benzoyl Peroxide Shampoo16oz,,1,0,0,0,BTTL,0,0,0,0,0,,1,BTTL,$9.95
6,Betadine 5% Ophth Sterile Prep Sol,,1,0,0,0,EACH,0,0,0,0,0,5%,1,EACH,$18.75
6,Betamethasone 6mg/ml Inj,,1,1,0,0,ML,0,0,0,0,0,6 mg,5,ML,$84.00
6,Betamethasone/Gentamicin Spray,"GenOne, Betagen, Gentacalm",1,0,0,0,EACH,0,0,0,0,0,,1,EACH,$26.82
6,Bexagliflozin 15mg Tablet,Bexacat,1,1,0,0,TAB,0,0,0,0,0,15 mg,30,TAB,$59.67
6,Bismuth 1 Gallon,,1,0,0,0,EACH,0,0,0,0,0,,1,EACH,$14.21
